Number	Site ID	Site	Region	Date	Phase	Vessel no	Class
1	DM	Dia Mara	IND	500-1000AD	NA	v1	NA
2	DM	Dia Mara	IND	500-1000AD	NA	v2	NA
3	DM	Dia Mara	IND	1000-1600AD	NA	v1	NA
4	DM	Dia Mara	IND	1000-1600AD	NA	v2	NA
5	DM	Dia Mara	IND	1000-1600AD	NA	v3	NA
6	DM	Dia Mara	IND	1000-1600AD	NA	v4	NA
7	DM	Dia Mara	IND	1000-1600AD	NA	v5	NA
8	DS	Dia Shoma	IND	800-200BC	NA	v1	NA
9	DS	Dia Shoma	IND	800-200BC	NA	v2	NA
10	DS	Dia Shoma	IND	800-200BC	NA	v3	NA
11	DS	Dia Shoma	IND	800-200BC	NA	v4	NA
12	DS	Dia Shoma	IND	800-200BC	NA	v5	NA
13	DS	Dia Shoma	IND	800-200BC	NA	v6	NA
14	DS	Dia Shoma	IND	800-200BC	NA	v7	NA
15	DS	Dia Shoma	IND	800-200BC	NA	v8	NA
16	DS	Dia Shoma	IND	800-200BC	NA	v9	NA
17	DS	Dia Shoma	IND	800-200BC	NA	v10	NA
18	DS	Dia Shoma	IND	1000-1600AD	NA	v1	NA
19	DS	Dia Shoma	IND	1000-1600AD	NA	v2	NA
20	DS	Dia Shoma	IND	1000-1600AD	NA	v3	NA
21	DS	Dia Shoma	IND	1000-1600AD	NA	v4	NA
22	JJ	Jenne-jeno	IND	250BC-350AD	NA	v1	NA
23	JJ	Jenne-jeno	IND	250BC-350AD	NA	v2	NA
24	JJ	Jenne-jeno	IND	250BC-350AD	NA	v3	NA
25	JJ	Jenne-jeno	IND	250BC-350AD	NA	v4	NA
26	JJ	Jenne-jeno	IND	250BC-350AD	NA	v5	NA
27	JJ	Jenne-jeno	IND	250BC-350AD	NA	v6	NA
28	JJ	Jenne-jeno	IND	250BC-350AD	NA	v7	NA
29	JJ	Jenne-jeno	IND	250BC-350AD	NA	v8	NA
30	JJ	Jenne-jeno	IND	250BC-350AD	NA	v9	NA
