ID	site	context	region	date	Phase	vessel no	class	lat	lng
DM-01	Dia Mara	NA	IND	500-1000AD	NA	v1	NA	NA	NA
DM-02	Dia Mara	NA	IND	500-1000AD	NA	v2	NA	NA	NA
DM-03 	Dia Mara	NA	IND	1000-1600AD	NA	v1	NA	NA	NA
DM-04	Dia Mara	NA	IND	1000-1600AD	NA	v2	NA	NA	NA
DM-05	Dia Mara	NA	IND	1000-1600AD	NA	v3	NA	NA	NA
DM-06	Dia Mara	NA	IND	1000-1600AD	NA	v4	NA	NA	NA
DM-07	Dia Mara	NA	IND	1000-1600AD	NA	v5	NA	NA	NA
DS-01	Dia Shoma	NA	IND	800-200BC	NA	v1	NA	NA	NA
DS-02	Dia Shoma	NA	IND	800-200BC	NA	v2	NA	NA	NA
DS-03	Dia Shoma	NA	IND	800-200BC	NA	v3	NA	NA	NA
DS-04	Dia Shoma	NA	IND	800-200BC	NA	v4	NA	NA	NA
DS-05	Dia Shoma	NA	IND	800-200BC	NA	v5	NA	NA	NA
DS-06	Dia Shoma	NA	IND	800-200BC	NA	v6	NA	NA	NA
DS-07	Dia Shoma	NA	IND	800-200BC	NA	v7	NA	NA	NA
DS-08	Dia Shoma	NA	IND	800-200BC	NA	v8	NA	NA	NA
DS-09	Dia Shoma	NA	IND	800-200BC	NA	v9	NA	NA	NA
DS-10	Dia Shoma	NA	IND	800-200BC	NA	v10	NA	NA	NA
DS-11	Dia Shoma	NA	IND	1000-1600AD	NA	v1	NA	NA	NA
DS-12	Dia Shoma	NA	IND	1000-1600AD	NA	v2	NA	NA	NA
DS-13	Dia Shoma	NA	IND	1000-1600AD	NA	v3	NA	NA	NA
DS-14	Dia Shoma	NA	IND	1000-1600AD	NA	v4	NA	NA	NA
JJ-01	Jenne-jeno	NA	IND	250BC-350AD	NA	v1	NA	NA	NA
JJ-02	Jenne-jeno	NA	IND	250BC-350AD	NA	v2	NA	NA	NA
JJ-03	Jenne-jeno	NA	IND	250BC-350AD	NA	v3	NA	NA	NA
JJ-04	Jenne-jeno	NA	IND	250BC-350AD	NA	v4	NA	NA	NA
JJ-05	Jenne-jeno	NA	IND	250BC-350AD	NA	v5	NA	NA	NA
JJ-06	Jenne-jeno	NA	IND	250BC-350AD	NA	v6	NA	NA	NA
JJ-07	Jenne-jeno	NA	IND	250BC-350AD	NA	v7	NA	NA	NA
JJ-08	Jenne-jeno	NA	IND	250BC-350AD	NA	v8	NA	NA	NA
JJ-09	Jenne-jeno	NA	IND	250BC-350AD	NA	v9	NA	NA	NA
JJ-10	Jenne-jeno	NA	IND	250BC-350AD	NA	v10	NA	NA	NA
JJ-11	Jenne-jeno	NA	IND	250BC-350AD	NA	v11	NA	NA	NA
JJ-12	Jenne-jeno	NA	IND	250BC-350AD	NA	v12	NA	NA	NA
