ID_by_SFP;ID_site;Dating;Site;Period;Area
1;DM-01;500-1000AD;Dia Mara;5;IND
2;DM-02;500-1000AD;Dia Mara;5;IND
3;DM-03;1000-1600AD;Dia Mara;6;IND
4;DM-04;1000-1600AD;Dia Mara;6;IND
5;DM-05;1000-1600AD;Dia Mara;6;IND
6;DM-06;1000-1600AD;Dia Mara;6;IND
7;DM-07;1000-1600AD;Dia Mara;6;IND
1;DS-01;800-200BC;Dia Shoma;4;IND
2;DS-02;800-200BC;Dia Shoma;4;IND
3;DS-03;800-200BC;Dia Shoma;4;IND
4;DS-04;800-200BC;Dia Shoma;4;IND
5;DS-05;800-200BC;Dia Shoma;4;IND
6;DS-06;800-200BC;Dia Shoma;4;IND
7;DS-07;800-200BC;Dia Shoma;4;IND
8;DS-08;800-200BC;Dia Shoma;4;IND
9;DS-09;800-200BC;Dia Shoma;4;IND
10;DS-10;800-200BC;Dia Shoma;4;IND
11;DS-11;1000-1600AD;Dia Shoma;6;IND
12;DS-12;1000-1600AD;Dia Shoma;6;IND
13;DS-13;1000-1600AD;Dia Shoma;6;IND
14;DS-14;1000-1600AD;Dia Shoma;6;IND
1;JJ-01;250BC-350AD;Jenne-jeno;4;IND
2;JJ-02;250BC-350AD;Jenne-jeno;4;IND
3;JJ-03;250BC-350AD;Jenne-jeno;4;IND
4;JJ-04;250BC-350AD;Jenne-jeno;4;IND
5;JJ-05;250BC-350AD;Jenne-jeno;4;IND
6;JJ-06;250BC-350AD;Jenne-jeno;4;IND
7;JJ-07;250BC-350AD;Jenne-jeno;4;IND
8;JJ-08;250BC-350AD;Jenne-jeno;4;IND
9;JJ-09;250BC-350AD;Jenne-jeno;4;IND
10;JJ-10;250BC-350AD;Jenne-jeno;4;IND
11;JJ-11;250BC-350AD;Jenne-jeno;4;IND
12;JJ-12;250BC-350AD;Jenne-jeno;4;IND
13;JJ-13;350-850AD;Jenne-jeno;5;IND
14;JJ-14;350-850AD;Jenne-jeno;5;IND
15;JJ-15;350-850AD;Jenne-jeno;5;IND
16;JJ-16;350-850AD;Jenne-jeno;5;IND
17;JJ-17;350-850AD;Jenne-jeno;5;IND
18;JJ-18;350-850AD;Jenne-jeno;5;IND
19;JJ-19;350-850AD;Jenne-jeno;5;IND
20;JJ-20;350-850AD;Jenne-jeno;5;IND
21;JJ-21;350-850AD;Jenne-jeno;5;IND
22;JJ-22;350-850AD;Jenne-jeno;5;IND
23;JJ-23;350-850AD;Jenne-jeno;5;IND
24;JJ-24;350-850AD;Jenne-jeno;5;IND
25;JJ-25;350-850AD;Jenne-jeno;5;IND
26;JJ-26;350-850AD;Jenne-jeno;5;IND
27;JJ-27;350-850AD;Jenne-jeno;5;IND
28;JJ-28;350-850AD;Jenne-jeno;5;IND
29;JJ-29;350-850AD;Jenne-jeno;5;IND
30;JJ-30;350-850AD;Jenne-jeno;5;IND
31;JJ-31;850-1400AD;Jenne-jeno;6;IND
32;JJ-32;850-1400AD;Jenne-jeno;6;IND
33;JJ-33;850-1400AD;Jenne-jeno;6;IND
34;JJ-34;850-1400AD;Jenne-jeno;6;IND
35;JJ-35;850-1400AD;Jenne-jeno;6;IND
36;JJ-36;850-1400AD;Jenne-jeno;6;IND
37;JJ-37;850-1400AD;Jenne-jeno;6;IND
38;JJ-38;850-1400AD;Jenne-jeno;6;IND
39;JJ-39;850-1400AD;Jenne-jeno;6;IND
40;JJ-40;850-1400AD;Jenne-jeno;6;IND
41;JJ-41;850-1400AD;Jenne-jeno;6;IND
42;JJ-42;850-1400AD;Jenne-jeno;6;IND
43;JJ-43;850-1400AD;Jenne-jeno;6;IND
44;JJ-44;850-1400AD;Jenne-jeno;6;IND
45;JJ-45;850-1400AD;Jenne-jeno;6;IND
46;JJ-46;850-1400AD;Jenne-jeno;6;IND
47;JJ-47;850-1400AD;Jenne-jeno;6;IND
48;JJ-48;850-1400AD;Jenne-jeno;6;IND
49;JJ-49;850-1400AD;Jenne-jeno;6;IND
50;JJ-50;850-1400AD;Jenne-jeno;6;IND
51;JJ-51;850-1400AD;Jenne-jeno;6;IND
52;JJ-52;850-1400AD;Jenne-jeno;6;IND
53;JJ-53;850-1400AD;Jenne-jeno;6;IND
54;JJ-54;850-1400AD;Jenne-jeno;6;IND
55;JJ-55;850-1400AD;Jenne-jeno;6;IND
56;JJ-56;350-850AD;Jenne-jeno;5;IND
57;JJ-57;850-1400AD;Jenne-jeno;6;IND
58;JJ-58;350-850AD;Jenne-jeno;5;IND
59;JJ-59;350-850AD;Jenne-jeno;5;IND
60;JJ-60;350-850AD;Jenne-jeno;5;IND
61;JJ-61;350-850AD;Jenne-jeno;5;IND
